instrument,quantity,signal,entry_price,exit_price,stop_loss,target_price,pnl_points,pnl_amount,result,entry_time,exit_time
NIFTY,65,BUY,9103.5,9123.25,9018.51508123013,9230.977378154803,19.75,1283.75,TIME EXIT,2020-04-09 15:00:00,2020-04-09 15:10:00
NIFTY,65,BUY,8996.0,8979.9,8924.156221312,9103.765668032,-16.100000000000364,-1046.5000000000236,EMA EXIT,2020-04-13 10:45:00,2020-04-13 11:05:00
NIFTY,65,BUY,9027.45,9016.0,8962.627090120453,9124.68436481932,-11.450000000000728,-744.2500000000473,MACD EXIT,2020-04-13 11:20:00,2020-04-13 12:30:00
NIFTY,65,BUY,9010.5,8989.45,8946.227865600002,9106.908201599997,-21.049999999999272,-1368.2499999999527,TIME EXIT,2020-04-13 14:45:00,2020-04-13 15:10:00
NIFTY,65,BUY,9129.25,9247.6,9015.62897972507,9299.681530412396,118.35000000000036,7692.750000000024,MACD EXIT,2020-04-15 09:25:00,2020-04-15 10:45:00
NIFTY,65,BUY,8921.3,8903.05,8848.837246114712,9029.99413082793,-18.25,-1186.25,EMA EXIT,2020-04-16 10:30:00,2020-04-16 10:45:00
NIFTY,65,BUY,8921.8,9008.59216829532,8863.938554469785,9008.59216829532,86.79216829532015,5641.49093919581,WIN,2020-04-16 11:05:00,2020-04-16 12:10:00
NIFTY,65,BUY,9018.3,8962.979085155916,8962.979085155916,9101.281372266125,-55.320914844083745,-3595.8594648654434,LOSS,2020-04-16 12:15:00,2020-04-16 12:45:00
NIFTY,65,BUY,9029.0,9006.65,8961.118,9130.823,-22.350000000000364,-1452.7500000000236,MACD EXIT,2020-04-16 13:05:00,2020-04-16 13:20:00
NIFTY,65,BUY,9023.5,9023.1,8973.039898585928,9099.190152121108,-0.3999999999996362,-25.999999999976353,MACD EXIT,2020-04-16 13:40:00,2020-04-16 13:45:00
NIFTY,65,BUY,9288.35,9229.35,8976.12134,9756.692990000001,-59.0,-3835.0,MACD EXIT,2020-04-17 09:25:00,2020-04-17 10:15:00
NIFTY,65,BUY,9165.8,9265.511434399998,9099.3257104,9265.511434399998,99.71143439999832,6481.243235999891,WIN,2020-04-17 14:05:00,2020-04-17 15:10:00
NIFTY,65,BUY,9291.6,9252.65,9238.41,9371.385000000002,-38.95000000000073,-2531.7500000000473,EMA EXIT,2020-04-20 13:25:00,2020-04-20 14:55:00
NIFTY,65,BUY,8978.1,8988.95,8926.115891186933,9056.0761632196,10.850000000000364,705.2500000000236,TIME EXIT,2020-04-21 14:20:00,2020-04-21 15:10:00
NIFTY,65,BUY,8981.15,8971.1,8951.025979163034,9026.336031255447,-10.049999999999272,-653.2499999999527,MACD EXIT,2020-04-22 09:25:00,2020-04-22 09:40:00
NIFTY,65,BUY,9022.2,9092.9,8947.899,9133.651500000004,70.69999999999891,4595.499999999929,MACD EXIT,2020-04-22 10:30:00,2020-04-22 11:45:00
NIFTY,65,BUY,9148.3,9137.55,9094.4011149902,9229.148327514698,-10.75,-698.75,MACD EXIT,2020-04-22 13:05:00,2020-04-22 13:20:00
NIFTY,65,BUY,9161.9,9174.95,9097.853895999999,9257.969156000001,13.050000000001091,848.2500000000709,TIME EXIT,2020-04-22 14:20:00,2020-04-22 15:10:00
NIFTY,65,BUY,9224.85,9279.45,9171.5,9304.875,54.600000000000364,3549.0000000000236,MACD EXIT,2020-04-23 09:25:00,2020-04-23 10:40:00
NIFTY,65,BUY,9317.35,9311.0,9277.533722114607,9377.07441682809,-6.350000000000364,-412.75000000002365,MACD EXIT,2020-04-23 12:00:00,2020-04-23 12:15:00
NIFTY,65,BUY,9311.6,9311.4,9245.3214784,9411.017782400002,-0.2000000000007276,-13.000000000047294,TIME EXIT,2020-04-23 14:05:00,2020-04-23 15:10:00
NIFTY,65,BUY,9202.8,9231.626467199996,9183.582355200002,9231.626467199996,28.82646719999684,1873.7203679997947,WIN,2020-04-24 11:55:00,2020-04-24 12:20:00
NIFTY,65,BUY,9262.45,9263.5,9215.178095580866,9333.357856628703,1.0499999999992724,68.2499999999527,MACD EXIT,2020-04-24 12:25:00,2020-04-24 13:30:00
NIFTY,65,BUY,9321.3,9347.4,9153.09552,9573.606719999996,26.100000000000364,1696.5000000000236,MACD EXIT,2020-04-27 09:25:00,2020-04-27 10:55:00
NIFTY,65,BUY,9340.55,9280.3213216,9280.3213216,9430.893017599998,-60.2286783999989,-3914.8640959999284,LOSS,2020-04-28 09:25:00,2020-04-28 09:40:00
NIFTY,65,BUY,9314.05,9292.0,9260.3,9394.675,-22.049999999999272,-1433.2499999999527,EMA EXIT,2020-04-28 10:55:00,2020-04-28 12:15:00
NIFTY,65,BUY,9328.9,9348.8,9281.333264000003,9400.250103999995,19.899999999999636,1293.4999999999764,MACD EXIT,2020-04-28 12:55:00,2020-04-28 14:40:00
NIFTY,65,BUY,9377.75,9372.55,9342.4096118684,9430.760582197401,-5.200000000000728,-338.0000000000473,TIME EXIT,2020-04-28 14:55:00,2020-04-28 15:10:00
NIFTY,65,BUY,9452.85,9466.85,9403.188237917671,9527.342643123495,14.0,910.0,MACD EXIT,2020-04-29 09:25:00,2020-04-29 10:25:00
